epoch,accuracy,loss,val_accuracy,val_loss
0,0.4322916567325592,1.1173908710479736,0.6111111044883728,0.850327730178833
1,0.6440972089767456,0.8552119135856628,0.6527777910232544,0.8073070049285889
2,0.7795138955116272,0.7899726629257202,0.875,0.7215514183044434
3,0.9149305820465088,0.6771038770675659,0.9375,0.5631744265556335
4,0.9513888955116272,0.5341037511825562,0.9444444179534912,0.449251651763916
5,0.9861111044883728,0.44678911566734314,0.9652777910232544,0.40855303406715393
6,0.9826388955116272,0.41822999715805054,0.8611111044883728,0.5206142067909241
7,0.9756944179534912,0.42021745443344116,0.9722222089767456,0.3564820885658264
8,0.9947916865348816,0.3872605264186859,0.9722222089767456,0.35385239124298096
9,0.9982638955116272,0.3694397807121277,0.9791666865348816,0.3492969274520874
10,0.9947916865348816,0.36131197214126587,0.9930555820465088,0.32137030363082886
11,0.9965277910232544,0.3516080677509308,0.9791666865348816,0.3066181242465973
12,0.9982638955116272,0.3438500165939331,0.9861111044883728,0.3034859001636505
13,0.9982638955116272,0.34141531586647034,0.9791666865348816,0.33528175950050354
14,1.0,0.3363136053085327,0.9930555820465088,0.29825344681739807
15,1.0,0.3305852711200714,0.9861111044883728,0.2950402498245239
16,1.0,0.3264129161834717,0.9861111044883728,0.2888549566268921
17,1.0,0.3227520287036896,1.0,0.28228890895843506
18,0.9982638955116272,0.3193953335285187,0.9930555820465088,0.2787584066390991
19,1.0,0.31639474630355835,0.9861111044883728,0.28954017162323
20,1.0,0.3125223219394684,0.9930555820465088,0.2758955955505371
21,1.0,0.30868688225746155,0.9861111044883728,0.2842610478401184
22,1.0,0.305433988571167,0.9930555820465088,0.2694854140281677
23,1.0,0.301536500453949,0.9861111044883728,0.27492910623550415
24,1.0,0.298211932182312,0.9930555820465088,0.26199230551719666
